diagnosis_type	diagnosis_code	diagnosis_description	mapped_icd9	mapped_icd10	map_flag
ICD10-CM	E22.0	Acromegaly and pituitary gigantism	2530	E220	10000
ICD10-CM	C94.21	Acute megakaryoblastic leukemia, in remission	20721	C9421	10000
ICD10-CM	M11.26	Other chondrocalcinosis, knee	71236	M11269	10000
ICD10-CM	D45	Polycythemia vera	2384	D45	10000
ICD10-CM	T41.3X2A	Poisoning by local anesthetics, intentional self-harm, initial encounter	E9500	T413X2A	10112
ICD10-CM	G40.89	Other seizures	34580	G4089	10000
ICD10-CM	E04.2	Nontoxic multinodular goiter	2411	E042	10000
ICD10-CM	G96.8	Other specified disorders of central nervous system	34989	G968	10000
ICD10-CM	G57.03	Lesion of sciatic nerve, bilateral lower limbs	3550	G5703	10000
ICD10-CM	S01.93XD	Puncture wound without foreign body of unspecified part of head, subsequent encounter	V5889	S0193XD	10000
ICD10-CM	K29.30	Chronic superficial gastritis without bleeding	53540	K2930	10000
ICD10-CM	A18.89	Tuberculosis of other sites	01790	A1889	10000
ICD10-CM	O98.313	Other infections with a predominantly sexual mode of transmission complicating pregnancy, third trimester	64721	O98313	10000
ICD10-CM	C84.A1	Cutaneous T-cell lymphoma, unspecified lymph nodes of head, face, and neck	20281	C84A1	10000
ICD10-CM	R15.1	Fecal smearing	78762	R151	00000
ICD10-CM	E51	Thiamine deficiency	2651	E519	10000
ICD10-CM	S63.615S	Unspecified sprain of left ring finger, sequela	9057	S63615S	10000
ICD10-CM	T84.59XS	Infection and inflammatory reaction due to other internal joint prosthesis, sequela	9093	T8459XS	10000
ICD10-CM	H16.322	Diffuse interstitial keratitis, left eye	37052	H16322	10000
ICD10-CM	Z68.30	Body mass index (BMI) 30.0-30.9, adult	V8530	Z6830	00000
ICD10-CM	L89.519	Pressure ulcer of right ankle, unspecified stage	70720	L89519	10112
ICD10-CM	M19.249	Secondary osteoarthritis, unspecified hand	71524	M19249	10000
ICD10-CM	M67.452	Ganglion, left hip	72741	M67452	10000
ICD10-CM	M67.422	Ganglion, left elbow	72741	M67422	10000
ICD10-CM	S31.020D	Laceration with foreign body of lower back and pelvis without penetration into retroperitoneum, subsequent encounter	V5889	S31020D	10000
ICD10-CM	T17.928A	Food in respiratory tract, part unspecified causing other injury, initial encounter	9349	T17928A	10111
ICD10-CM	T82.518A	Breakdown (mechanical) of other cardiac and vascular devices and implants, initial encounter	9961	T82518A	10000
ICD10-CM	A48.0	Gas gangrene	0400	A480	00000
ICD10-CM	S82.122A	Displaced fracture of lateral condyle of left tibia, initial encounter for closed fracture	82300	S82122A	10000
ICD10-CM	S63.612A	Unspecified sprain of right middle finger, initial encounter	84219	S63612A	10000
ICD10-CM	E13.49	Other specified diabetes mellitus with other diabetic neurological complication	34989	E1349	10112
ICD10-CM	S76.202D	Unspecified injury of adductor muscle, fascia and tendon of left thigh, subsequent encounter	V5889	S76202D	10000
ICD10-CM	M46.46	Discitis, unspecified, lumbar region	72293	M4646	10000
ICD10-CM	I27.1	Kyphoscoliotic heart disease	4161	I271	00000
ICD10-CM	H30.91	Unspecified chorioretinal inflammation, right eye	36320	H3091	10000
ICD10-CM	W29.3XXS	Contact with powered garden and outdoor hand tools and machinery, sequela	E9298	W293XXS	10000
ICD10-CM	J96.20	Acute and chronic respiratory failure, unspecified whether with hypoxia or hypercapnia	51853	J9620	10000
ICD10-CM	S71.132D	Puncture wound without foreign body, left thigh, subsequent encounter	V5889	S71132D	10000
ICD10-CM	G47.30	Sleep apnea, unspecified	78051	G4730	10000
ICD10-CM	R13.12	Dysphagia, oropharyngeal phase	78722	R1312	00000
ICD10-CM	M86.00	Acute hematogenous osteomyelitis, unspecified site	73000	M8600	10000
ICD10-CM	K63.2	Fistula of intestine	56981	K632	10000
ICD10-CM	O99.419	Diseases of the circulatory system complicating pregnancy, unspecified trimester	67400	O99419	10000
ICD10-CM	S98.312S	Complete traumatic amputation of left midfoot, sequela	9059	S98312S	10000
ICD10-CM	Z08	Encounter for follow-up examination after completed treatment for malignant neoplasm	V679	Z08	10000
ICD10-CM	M06.839	Other specified rheumatoid arthritis, unspecified wrist	7140	M06839	10000
ICD10-CM	M62.50	Muscle wasting and atrophy, not elsewhere classified, unspecified site	7282	M6250	10000
ICD10-CM	M89.319	Hypertrophy of bone, unspecified shoulder	73399	M89319	10000
ICD10-CM	M12.379	Palindromic rheumatism, unspecified ankle and foot	71937	M12379	10000
ICD10-CM	T42.3X2A	Poisoning by barbiturates, intentional self-harm, initial encounter	9670	T423X2A	10111
ICD10-CM	N50.89	Other specified disorders of the male genital organs	60884	N5089	10000
ICD10-CM	M84.88	Other disorders of continuity of bone, other site	73399	M8488	10000
ICD10-CM	G83.4	Cauda equina syndrome	34460	G834	10000
ICD10_CA	A40.9	Streptococcal sepsis, unspecified	99591	A409	10112
ICD10-CM	T23.261D	Burn of second degree of back of right hand, subsequent encounter	V5889	T23261D	10000
ICD10-CM	M72.0	Palmar fascial fibromatosis [Dupuytren]	7286	M720	00000
ICD10-CM	H53.10	Unspecified subjective visual disturbances	36810	H5310	10000
ICD10-CM	M14.832	Arthropathies in other specified diseases classified elsewhere, left wrist	7138	M14832	10000
ICD10-CM	M14.849	Arthropathies in other specified diseases classified elsewhere, unspecified hand	7138	M14849	10000
ICD10-CM	M85.671	Other cyst of bone, right ankle and foot	73329	M85671	10000
ICD10-CM	P52.4	Intracerebral (nontraumatic) hemorrhage of newborn	7670	P524	10000
ICD10-CM	W14.XXXS	Fall from tree, sequela	E9293	W14XXXS	10000
ICD10-CM	S01.431D	Puncture wound without foreign body of right cheek and temporomandibular area, subsequent encounter	V5889	S01431D	10000
ICD10-CM	S91.154A	Open bite of right lesser toe(s) without damage to nail, initial encounter	8930	S91154A	10000
ICD10-CM	K62.0	Anal polyp	5690	K620	10000
ICD10-CM	S52.034D	Nondisplaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for closed fracture with routine healing	V5412	S52034D	10000
ICD10-CM	Z86.14	Personal history of Methicillin resistant Staphylococcus aureus infection	V1204	Z8614	00000
ICD10-CM	S82.041K	Displaced comminuted fracture of right patella, subsequent encounter for closed fracture with nonunion	73382	S82041K	10000
ICD10-CM	S93.525A	Sprain of metatarsophalangeal joint of left lesser toe(s), initial encounter	84512	S93525A	10000
ICD10-CM	F65.51	Sexual masochism	30283	F6551	00000
ICD10-CM	S50.811A	Abrasion of right forearm, initial encounter	9130	S50811A	10000
ICD10-CM	O12.21	Gestational edema with proteinuria, first trimester	64621	O1221	10112
ICD10-CM	T76.91XA	Unspecified adult maltreatment, suspected, initial encounter	99580	T7691XA	10000
ICD10-CM	E03.8	Other specified hypothyroidism	2448	E038	10000
ICD10-CM	H25.03	Anterior subcapsular polar age-related cataract	36613	H25039	10000
ICD10-CM	O72	Postpartum hemorrhage	66602	O720	10000
ICD10-CM	V29.49XA	Motorcycle driver injured in collision with other motor vehicles in traffic accident, initial encounter	E8122	V2949XA	10000
ICD10-CM	Q32.0	Congenital tracheomalacia	7483	Q320	10000
ICD10-CM	R41.844	Frontal lobe and executive function deficit	79955	R41844	00000
ICD10-CM	T78.3XXS	Angioneurotic edema, sequela	9099	T783XXS	10000
ICD10-CM	O13.2	Gestational [pregnancy-induced] hypertension without significant proteinuria, second trimester	64232	O132	10000
ICD10-CM	T63.301A	Toxic effect of unspecified spider venom, accidental (unintentional), initial encounter	9895	T63301A	10111
ICD10-CM	E11.3392	Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye	25050	E113392	10111
ICD10-CM	S62.201D	Unspecified fracture of first metacarpal bone, right hand, subsequent encounter for fracture with routine healing	V5412	S62201D	10000
ICD10-CM	S91.342A	Puncture wound with foreign body, left foot, initial encounter	8921	S91342A	10000
ICD10-CM	O25.13	Malnutrition in pregnancy, third trimester	64891	O2513	10000
ICD10-CM	D64.89	Other specified anemias	2858	D6489	10000
ICD10-CM	T28.412A	Burn of left ear drum, initial encounter	9478	T28412A	10000
ICD10-CM	S62.304D	Unspecified fracture of fourth metacarpal bone, right hand, subsequent encounter for fracture with routine healing	V5412	S62304D	10000
ICD10-CM	S62.600B	Fracture of unspecified phalanx of right index finger, initial encounter for open fracture	81610	S62600B	10000
ICD10-CM	S92.202A	Fracture of unspecified tarsal bone(s) of left foot, initial encounter for closed fracture	82529	S92202A	10000
ICD10-CM	T83.128S	Displacement of other urinary devices and implants, sequela	9093	T83128S	10000
ICD10-CM	S73.112A	Iliofemoral ligament sprain of left hip, initial encounter	8430	S73112A	10000
ICD10-CM	I47.9	Paroxysmal tachycardia, unspecified	4272	I479	00000
ICD10-CM	T60.4X1A	Toxic effect of rodenticides, accidental (unintentional), initial encounter	9894	T604X1A	10111
ICD10-CM	S00.93XD	Contusion of unspecified part of head, subsequent encounter	V5889	S0093XD	10000
ICD10-CM	J96	Respiratory failure, not elsewhere classified	51881	J9600	10000
ICD10-CM	M61.28	Paralytic calcification and ossification of muscle, other site	72810	M6128	10000
ICD10-CM	Z96.64	Presence of artificial hip joint	V4364	Z96649	10000
ICD10-CM	T65.891A	Toxic effect of other specified substances, accidental (unintentional), initial encounter	E8668	T65891A	10112
ICD10-CM	E11.3533	Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral	36202	E113533	10112
ICD10-CM	W05.1XXA	Fall from non-moving nonmotorized scooter, initial encounter	E8843	W051XXA	10000
ICD10-CM	S92.342A	Displaced fracture of fourth metatarsal bone, left foot, initial encounter for closed fracture	82525	S92342A	10000
ICD10-CM	T37.3X5A	Adverse effect of other antiprotozoal drugs, initial encounter	99529	T373X5A	10111
ICD10-CM	T84.220A	Displacement of internal fixation device of bones of hand and fingers, initial encounter	99649	T84220A	10000
ICD10-CM	K80.12	Calculus of gallbladder with acute and chronic cholecystitis without obstruction	57410	K8012	10112
ICD10-CM	H67.3	Otitis media in diseases classified elsewhere, bilateral	38202	H673	10000
ICD10-CM	S01.132A	Puncture wound without foreign body of left eyelid and periocular area, initial encounter	8700	S01132A	10000
ICD10-CM	H40.53X1	Glaucoma secondary to other eye disorders, bilateral, mild stage	36564	H4053X1	10111
ICD10-CM	F84.9	Pervasive developmental disorder, unspecified	29990	F849	10000
ICD10-CM	N92	Excessive, frequent and irregular menstruation	6262	N920	00000
ICD10-CM	H16.429	Pannus (corneal), unspecified eye	37062	H16429	10000
ICD10-CM	H05.231	Hemorrhage of right orbit	37632	H05231	10000
ICD10-CM	M94.359	Chondrolysis, unspecified hip	73399	M94359	10000
ICD10-CM	S09.19XD	Other specified injury of muscle and tendon of head, subsequent encounter	V5889	S0919XD	10000
ICD10-CM	H05.812	Cyst of left orbit	37681	H05812	10000
ICD10-CM	A18.02	Tuberculous arthritis of other joints	01580	A1802	10000
ICD10-CM	F16.29	Hallucinogen dependence with unspecified hallucinogen-induced disorder	2929	F1629	10111
ICD10-CM	Z53.1	Procedure and treatment not carried out because of patient's decision for reasons of belief and group pressure	V626	Z531	10000
ICD10-CM	S43.92XA	Sprain of unspecified parts of left shoulder girdle, initial encounter	8409	S4392XA	10000
ICD10-CM	H49.33	Total (external) ophthalmoplegia, bilateral	37856	H4933	10000
ICD10-CM	T22.331D	Burn of third degree of right upper arm, subsequent encounter	V5889	T22331D	10000
ICD10-CM	D36.16	Benign neoplasm of peripheral nerves and autonomic nervous system of pelvis	2159	D3616	10000
ICD10-CM	L89.010	Pressure ulcer of right elbow, unstageable	70725	L89010	10112
ICD10-CM	K08.199	Complete loss of teeth due to other specified cause, unspecified class	52519	K08199	10112
ICD10-CM	S66.197A	Other injury of flexor muscle, fascia and tendon of left little finger at wrist and hand level, initial encounter	9593	S66197A	10000
ICD10-CM	M47.897	Other spondylosis, lumbosacral region	7213	M47897	10000
ICD10-CM	H26.40	Unspecified secondary cataract	36650	H2640	00000
ICD10-CM	O34.32	Maternal care for cervical incompetence, second trimester	65451	O3432	10000
ICD10-CM	M27.49	Other cysts of jaw	5262	M2749	10000
ICD10-CM	H31.013	Macula scars of posterior pole (postinflammatory) (post-traumatic), bilateral	36333	H31013	10000
ICD10-CM	M10.021	Idiopathic gout, right elbow	27400	M10021	10000
ICD10-CM	M70.4	Prepatellar bursitis	72665	M7040	10000
ICD10-CM	S83.241A	Other tear of medial meniscus, current injury, right knee, initial encounter	8360	S83241A	10000
ICD10-CM	S61.311A	Laceration without foreign body of left index finger with damage to nail, initial encounter	8830	S61311A	10000
ICD10-CM	S46.302A	Unspecified injury of muscle, fascia and tendon of triceps, left arm, initial encounter	9592	S46302A	10000
ICD10-CM	T23.092A	Burn of unspecified degree of multiple sites of left wrist and hand, initial encounter	94408	T23092A	10000
ICD10-CM	F14.1	Cocaine abuse	30561	F1410	10000
ICD10-CM	Z91.5	Personal history of self-harm	V1559	Z915	10000
ICD10-CM	O99.28	Other endocrine, nutritional and metabolic diseases complicating pregnancy, childbirth and the puerperium	64890	O99280	10000
ICD10-CM	I70.512	Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with intermittent claudication, left leg	44032	I70512	10000
ICD10-CM	S33.141D	Dislocation of L4/L5 lumbar vertebra, subsequent encounter	V5889	S33141D	10000
ICD10-CM	M13.179	Monoarthritis, not elsewhere classified, unspecified ankle and foot	71667	M13179	10000
ICD10-CM	D17.5	Benign lipomatous neoplasm of intra-abdominal organs	2143	D175	10000
ICD10-CM	S82.122P	Displaced fracture of lateral condyle of left tibia, subsequent encounter for closed fracture with malunion	73381	S82122P	10000
ICD10-CM	M47.894	Other spondylosis, thoracic region	7212	M47894	10000
ICD10-CM	Q26.6	Portal vein-hepatic artery fistula	74761	Q266	10000
ICD10-CM	W18.39XA	Other fall on same level, initial encounter	E8888	W1839XA	10000
ICD10-CM	S62.502S	Fracture of unspecified phalanx of left thumb, sequela	9052	S62502S	10000
ICD10-CM	S52.92XG	Unspecified fracture of left forearm, subsequent encounter for closed fracture with delayed healing	V5412	S5292XG	10000
ICD10-CM	I70.211	Atherosclerosis of native arteries of extremities with intermittent claudication, right leg	44021	I70211	10000
ICD10-CM	S35.19XA	Other injury of inferior vena cava, initial encounter	90210	S3519XA	10000
ICD10-CM	C92.42	Acute promyelocytic leukemia, in relapse	20502	C9242	10000
ICD10-CM	M12.88	Other specific arthropathies, not elsewhere classified, other specified site	71688	M1288	10000
ICD10-CM	K80.34	Calculus of bile duct with chronic cholangitis without obstruction	57450	K8034	10111
ICD10-CM	D03.61	Melanoma in situ of right upper limb, including shoulder	1726	D0361	10000
ICD10-CM	H05.323	Deformity of bilateral orbits due to bone disease	37643	H05323	10000
ICD10-CM	R77.9	Abnormality of plasma protein, unspecified	79099	R779	10000
ICD10-CM	Q10.3	Other congenital malformations of eyelid	74362	Q103	10000
ICD10-CM	H74.19	Adhesive middle ear disease, unspecified ear	38510	H7419	10000
ICD10-CM	M62.83	Muscle spasm	7248	M62830	10000
ICD10-CM	S62.331D	Displaced fracture of neck of second metacarpal bone, left hand, subsequent encounter for fracture with routine healing	V5412	S62331D	10000
ICD10-CM	M10.072	Idiopathic gout, left ankle and foot	27401	M10072	10000
ICD10-CM	H66.93	Otitis media, unspecified, bilateral	3829	H6693	10000
ICD10-CM	Q25.3	Supravalvular aortic stenosis	74722	Q253	10000
ICD10-CM	T83.518D	Infection and inflammatory reaction due to other urinary catheter, subsequent encounter	V5889	T83518D	10000
ICD10-CM	T17.990D	Other foreign object in respiratory tract, part unspecified in causing asphyxiation, subsequent encounter	V5889	T17990D	10000
ICD10-CM	R89.2	Abnormal level of other drugs, medicaments and biological substances in specimens from other organs, systems and tissues	7960	R892	10000
ICD10-CM	O00.10	Tubal pregnancy without intrauterine pregnancy	63310	O00109	10000
ICD10-CM	S82.492D	Other fracture of shaft of left fibula, subsequent encounter for closed fracture with routine healing	V5416	S82492D	10000
ICD10-CM	J03.91	Acute recurrent tonsillitis, unspecified	463	J0391	10000
ICD10-CM	F13.230	Sedative, hypnotic or anxiolytic dependence with withdrawal, uncomplicated	30410	F13230	10112
ICD10-CM	M87.275	Osteonecrosis due to previous trauma, left foot	73344	M87275	10000
